file,e2n_e,e2n_n,n2e_n,n2e_e
packages/SystemUI/src/com/android/keyguard/KeyguardPatternViewController.java,,,9,
packages/SystemUI/src/com/android/keyguard/KeyguardPinBasedInputView.java,,,1,1
packages/SystemUI/src/com/android/keyguard/KeyguardPINView.java,,,1,
packages/SystemUI/src/com/android/systemui/battery/BatteryMeterViewController.java,,,2,
packages/SystemUI/src/com/android/systemui/biometrics/AuthCredentialPatternView.java,,,3,
packages/SystemUI/src/com/android/systemui/navigationbar/gestural/EdgeBackGestureHandler.java,,,2,2
packages/SystemUI/src/com/android/systemui/settings/brightness/ToggleSlider.java,,,,1
packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarPolicy.java,,,1,
packages/SystemUI/src/com/android/systemui/statusbar/policy/BluetoothController.java,,,,1
packages/SystemUI/src/com/android/systemui/tuner/TunerServiceImpl.java,,,52,52
packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/HeadsUpAppearanceControllerTest.java,,,2,
services/core/java/com/android/server/lights/LogicalLight.java,,,,3
services/core/java/com/android/server/BluetoothModeChangeHelper.java,,,1,1
services/core/java/com/android/server/display/DisplayPowerController.java,,,2,2
services/core/java/com/android/server/inputmethod/InputMethodManagerService.java,,,9,9
services/core/java/com/android/server/locksettings/LockSettingsShellCommand.java,,,2,
core/java/com/android/internal/os/DeviceKeyHandler.java,,,,1
services/core/java/com/android/server/power/DisplayGroupPowerStateMapper.java,,,,12
services/core/java/com/android/server/wm/ActivityRecord.java,,,1,
services/core/java/com/android/server/wm/ActivityTaskManagerService.java,,,,1
services/core/java/com/android/server/wm/DisplayRotation.java,,,1,
services/core/java/com/android/server/wm/RootWindowContainer.java,,,1,
core/java/android/os/PowerManagerInternal.java,,,,1
services/usb/java/com/android/server/usb/UsbDeviceManager.java,,,4,4
